County FIPS,County Name,State FIPS,State Name,Number of business establishments,Number of resident workers who work at home,Number of workers from other counties who commute to work in the county,Number of resident workers who commute to work in other counties,Number of resident workers who commute within county,Number of resident workers,Number of residents
1001,Autauga County,1,Alabama,869,510,15576,15417,8710,24300,55050
1003,Baldwin County,1,Alabama,5384,4380,24011,17748,62235,86310,199510
1005,Barbour County,1,Alabama,455,110,2368,1871,6395,8785,26615
1007,Bibb County,1,Alabama,284,100,4868,4816,3410,8280,22570
1009,Blount County,1,Alabama,698,480,14171,13981,7205,21350,57705
1011,Bullock County,1,Alabama,107,110,1699,1664,2465,4165,10550
1013,Butler County,1,Alabama,422,165,1925,1744,5755,7690,20280
1015,Calhoun County,1,Alabama,2319,1200,10171,8879,35630,45795,115885
1017,Chambers County,1,Alabama,554,300,8153,3955,5705,13845,34020
1019,Cherokee County,1,Alabama,361,190,5034,2385,4880,9950,25895
1021,Chilton County,1,Alabama,756,315,8965,8588,8335,17305,43815
1023,Choctaw County,1,Alabama,257,55,1774,632,2375,4145,13285
1025,Clarke County,1,Alabama,600,80,2219,1898,5800,8010,24845
1027,Clay County,1,Alabama,185,80,1989,1835,3390,5380,13485
1029,Cleburne County,1,Alabama,170,130,3866,1530,1705,5575,14990
1031,Coffee County,1,Alabama,985,615,8745,8341,13195,21990,50990
1033,Colbert County,1,Alabama,1217,345,7543,6889,14095,21630,54375
1035,Conecuh County,1,Alabama,196,60,1544,1439,2215,3755,12695
1037,Coosa County,1,Alabama,96,115,2903,2879,740,3630,10865
1039,Covington County,1,Alabama,816,255,3022,1795,11095,14210,37730
1041,Crenshaw County,1,Alabama,214,175,2711,2551,2820,5550,13895
1043,Cullman County,1,Alabama,1739,720,9556,9090,22250,31810,81315
1045,Dale County,1,Alabama,744,485,8650,8208,11845,20525,49605
1047,Dallas County,1,Alabama,721,180,2472,2309,11400,13880,41425
1049,DeKalb County,1,Alabama,1110,530,7826,5972,19810,27645,70935
1051,Elmore County,1,Alabama,1179,685,22320,21916,10380,32720,80955
1053,Escambia County,1,Alabama,752,110,2625,1743,9120,11735,37875
1055,Etowah County,1,Alabama,1978,1775,10887,10437,29675,40545,103365
1057,Fayette County,1,Alabama,299,120,2988,2913,3070,6055,16785
1059,Franklin County,1,Alabama,517,245,4498,3648,7690,12195,31575
1061,Geneva County,1,Alabama,400,345,5665,4809,4420,10100,26765
1063,Greene County,1,Alabama,99,95,1347,1324,980,2330,8585
1065,Hale County,1,Alabama,178,90,3066,3048,1860,4935,15160
1067,Henry County,1,Alabama,297,190,4072,3763,2855,6960,17185
1069,Houston County,1,Alabama,2720,965,6989,5011,36395,43370,103890
1071,Jackson County,1,Alabama,840,505,7112,4172,13550,20675,52610
1073,Jefferson County,1,Alabama,16430,7560,35311,32938,257415,292780,659095
