LocationID,StateAbbr,StateDesc,LocationName,TotalPopulation,Geolocation,States,Counties
56039,WY,Wyoming,Teton,23497,POINT (-110.426087 44.048662),14.0,3126.0
56015,WY,Wyoming,Goshen,13235,POINT (-104.3535403 42.0894553),14.0,890.0
56029,WY,Wyoming,Park,29331,POINT (-109.5935975 44.4923865),14.0,3122.0
56001,WY,Wyoming,Albany,38950,POINT (-105.7218826 41.6655141),14.0,3079.0
56005,WY,Wyoming,Campbell,46676,POINT (-105.5170141 44.1919991),14.0,889.0
56011,WY,Wyoming,Crook,7593,POINT (-104.5672975 44.5892657),14.0,3083.0
56007,WY,Wyoming,Carbon,14711,POINT (-106.9331526 41.7035904),14.0,3081.0
56041,WY,Wyoming,Uinta,20215,POINT (-110.5589468 41.2847255),14.0,893.0
56045,WY,Wyoming,Weston,6743,POINT (-104.5700202 43.8462133),14.0,894.0
56035,WY,Wyoming,Sublette,9856,POINT (-109.9161701 42.7679284),14.0,3124.0
56013,WY,Wyoming,Fremont,39317,POINT (-108.6089349 43.054831),14.0,3084.0
56019,WY,Wyoming,Johnson,8588,POINT (-106.5885406 44.0440477),14.0,3118.0
56025,WY,Wyoming,Natrona,80815,POINT (-106.7682192 42.9776447),14.0,891.0
56009,WY,Wyoming,Converse,13804,POINT (-105.5247521 42.9846234),14.0,3082.0
56023,WY,Wyoming,Lincoln,20253,POINT (-110.6829614 42.2299932),14.0,3120.0
56033,WY,Wyoming,Sheridan,30863,POINT (-106.8812114 44.7813692),14.0,3123.0
56043,WY,Wyoming,Washakie,7760,POINT (-107.669052 43.8788305),14.0,3127.0
56021,WY,Wyoming,Laramie,100595,POINT (-104.660395 41.2928302),14.0,3119.0
56003,WY,Wyoming,Big Horn,11575,POINT (-107.9948477 44.5251167),14.0,3080.0
56037,WY,Wyoming,Sweetwater,42673,POINT (-108.8756774 41.6603282),14.0,3125.0
56017,WY,Wyoming,Hot Springs,4425,POINT (-108.4350765 43.7202092),14.0,3117.0
56031,WY,Wyoming,Platte,8578,POINT (-104.9539626 42.1315927),14.0,892.0
56027,WY,Wyoming,Niobrara,2275,POINT (-104.4683727 43.062159),14.0,3121.0
55127,WI,Wisconsin,Walworth,103953,POINT (-88.5417306 42.6681095),41.0,886.0
55019,WI,Wisconsin,Clark,34720,POINT (-90.6099532 44.7393462),41.0,2970.0
55081,WI,Wisconsin,Monroe,46582,POINT (-90.6199687 43.9451751),41.0,879.0
55105,WI,Wisconsin,Rock,163084,POINT (-89.0752844 42.6698802),41.0,3038.0
55015,WI,Wisconsin,Calumet,50209,POINT (-88.2121322 44.0784104),41.0,865.0
55077,WI,Wisconsin,Marquette,15585,POINT (-89.4090953 43.8260529),41.0,3005.0
55083,WI,Wisconsin,Oconto,38383,POINT (-88.2065162 44.9965754),41.0,3031.0
55121,WI,Wisconsin,Trempealeau,29681,POINT (-91.3588668 44.3030501),41.0,3071.0
55095,WI,Wisconsin,Polk,43794,POINT (-92.447066 45.4620407),41.0,3036.0
55049,WI,Wisconsin,Iowa,23640,POINT (-90.1336915 43.0010208),41.0,2996.0
55069,WI,Wisconsin,Lincoln,27566,POINT (-89.73224 45.333148),41.0,3003.0
55047,WI,Wisconsin,Green Lake,18908,POINT (-88.9703796 43.7802469),41.0,873.0
55085,WI,Wisconsin,Oneida,35751,POINT (-89.5345333 45.7161762),41.0,880.0
55025,WI,Wisconsin,Dane,552536,POINT (-89.4178523 43.0674684),41.0,867.0
55071,WI,Wisconsin,Manitowoc,78757,POINT (-87.5773525 44.156137),41.0,3004.0
55007,WI,Wisconsin,Bayfield,15242,POINT (-91.1772815 46.6341992),41.0,2936.0
